State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,505840,964188,20120,50637,2506,310,86,313161,192679,535259,160798,59288,220697,94798,315495,33612,126498,5231,14521,185289,108455,50705,45828,5946,212516,27844,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,873227,1532352,71391,385011,5713,710,721,584687,288540,1220210,253327,26970,387911,230151,618062,77581,223537,12787,35024,350349,243386,120373,94710,14641,356607,73640,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,68301,152638,28835,18391,46,63,54,53139,15162,131921,13077,1327,35618,33715,69333,28366,47880,1868,4870,32899,29456,15930,18998,2550,33788,12831,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,11802,27940,12856,958,3,21,14,9093,2709,30014,82,69,0,12110,12110,3632,7150,574,1484,6043,8773,5711,4475,858,6569,494,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,16760,53537,1191,873,3,1,4,14047,2713,38866,3324,146,0,15519,15519,10399,12859,207,597,10954,8044,4101,3836,226,6947,5816,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,917856,690939,12502,54344,1716935,876,3152,735195,182661,1572800,121599,41642,275477,385476,660953,279993,461231,29961,63864,313874,328229,203656,142399,56185,430041,41576,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,549986,380569,16299,2474,984286,246,1266,432988,116998,838539,128382,14938,218159,137563,355722,118427,255650,11284,32253,182796,163928,96329,70240,36173,235988,21224,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,221555,141363,3125,1227,469789,155,1109,185049,36506,395953,54058,8225,99946,58917,158863,62103,113549,4348,12276,89433,75419,48360,29838,15528,109071,6142,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,214783,152851,16808,1698,427521,48,178,182777,32006,385380,21389,8048,117559,57337,174896,64037,113683,5138,14294,102257,95073,59555,34990,18239,101426,11510,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,756695,906408,6844,19358,1090815,454,1143,596406,160289,1272379,227971,14679,348522,153868,502390,141899,349662,10042,31070,306838,221806,147698,82448,37105,344538,17695,89.0,60.0
